Nestbox;Laying_day;Hatching_day
A01;4;28
A03;-2;29
A05;4;28
A06;6;29
A07;-1;27
A08;12; 
A09;6;32
A11;31;49
A12;23;42
A13;9;30
A15;6;
A16;2;38
A17;-1;29
A18;23;43
A18B;17; 
A19;1;30
A20;12; 
A21;25;44
A22;7;30
A22B;10;36
A23;15; 
A25;5;28
A26;-1;28
A28;4;
B01;4;25
B02;-3;27
B03;8;31
B05;16; 
B07;20;46
B08;17; 
B09;17; 
B11;17; 
B12;22; 
B13;18;43
B14;22;
B15;8;28
B17;9; 
B18;12;33
B19;19;40
B21;10;32
B22;-1;39
B23;16; 
B24;10;39
B25;20;40
C01;4;30
C02;14;37
C03;10; 
C04;0; 
C05;-1;28
C07;6;29
C08;13; 
C09;10;32
C10;7;31
C13;-2;28
C14;5; 
C16;4;25
C17;1;44
C18;3; 
C19;5;29
C21;4;26
C22;1; 
C23;1;25
C25;1;28
C26;5;30
D01;4; 
D02;5;26
D05;6;30
D07;21; 
D08;24;39
D09;19; 
D10;15; 
D13;6;28
D14;8;30
D15;14; 
E00;6;31
E03;4;28
E05;11; 
E06;7;30
E07;11; 
E08;10;37
E10;6;30
E11;11; 
E12;7;30
E13;5;28
E15;1; 
E16;6;29
E17;10;53
F02;5;29
F03;-2;
F04;9;29
F05;21;43
F08;4;31
F09;21;42
F11;5; 
F12;23;42
F13;9; 
F14;11;31
F15;30; 
F17;5;28
F18;3;30
F19;6;28
F21;0; 
F22;0;24
F23;11;37
F24;12;43
F27;20; 
G01;-2;30
G04;9; 
G05;18; 
G06;5;29
G07;4;26
G08;11; 
G09;0;44
G12;6;30
G14;21; 
G15;12; 
G19;3;30
G20;6;31
G22;24;44
GA03;30; 
GA04;13;33
GA08;12;36
GA09;32;50
GA15;16; 
GA16;13; 
GA17;10; 
GA20;16;36
GA22;8;31
GA23;3;25
GA25;10;32
H31;6;31
H33;3;40
H34;12; 
H35;4;33
H36;17;43
J01;3;
J02;0;25
J03;11;40
J05;15; 
J08;-1; 
J12;9;29
X01;7; 
X03;23;44
X05;8;25
X07;13; 
X10;13;33
X11;13;
X12;9;32
X18;10;31
X21;0; 
X22;25;45
X24;17;41
